State,Percent
Total U.S.,18.07%
Northeast,17.86%
Midwest,18.01%
South,17.95%
West,18.48%
Alabama,18.47%
Alaska,20.01%
Arizona,17.52%
Arkansas,21.02%
California,17.15%
Colorado,20.05%
Connecticut,18.00%
Delaware,17.71%
District of Columbia,18.82%
Florida,17.30%
Georgia,17.74%
Hawaii,15.55%
Idaho,21.62%
Illinois,15.73%
Indiana,19.95%
Iowa,17.72%
Kansas,18.17%
Kentucky,22.08%
Louisiana,17.31%
Maine,17.62%
Maryland,16.59%
Massachusetts,19.34%
Michigan,17.33%
Minnesota,18.24%
Mississippi,17.49%
Missouri,18.03%
Montana,20.57%
Nebraska,18.39%
Nevada,18.33%
New Hampshire,19.36%
New Jersey,15.50%
New Mexico,19.19%
New York,17.54%
North Carolina,18.98%
North Dakota,17.06%
Ohio,19.72%
Oklahoma,18.93%
Oregon,22.61%
Pennsylvania,18.76%
Rhode Island,19.23%
South Carolina,18.12%
South Dakota,17.83%
Tennessee,19.63%
Texas,16.04%
Utah,22.27%
Vermont,20.85%
Virginia,19.96%
Washington,20.72%
West Virginia,20.90%
Wisconsin,18.51%
Wyoming,19.46%
